last_name,first_name,birthMonth,birthDay,group,isCharacter,isSeiyuu,isEnglishVA,name,name_JP_order,nickname,hint
Kosaka,Honoka,8,3,group1,1,0,0,Honoka Kosaka,Kosaka Honoka,NA,
Minami,Kotori,9,12,group1,1,0,0,Kotori Minami,Minami Kotori,NA,
Sonoda,Umi,3,15,group1,1,0,0,Umi Sonoda,Sonoda Umi,NA,
Hoshizora,Rin,11,1,group1,1,0,0,Rin Hoshizora,Hoshizora Rin,NA,
Nishikino,Maki,4,19,group1,1,0,0,Maki Nishikino,Nishikino Maki,NA,
Koizumi,Hanayo,1,17,group1,1,0,0,Hanayo Koizumi,Koizumi Hanayo,Kayo-chin,
Yazawa,Nico,7,22,group1,1,0,0,Nico Yazawa,Yazawa Nico,Nico Nii,
Ayase,Eli,10,21,group1,1,0,0,Eli Ayase,Ayase Eli,Eli-chi,
Tojo,Nozomi,6,9,group1,1,0,0,Nozomi Tojo,Tojo Nozomi,NA,
Takami,Chika,8,1,group2,1,0,0,Chika Takami,Takami Chika,NA,
Sakurauchi,Riko,9,19,group2,1,0,0,Riko Sakurauchi,Sakurauchi Riko,NA,
Matsuura,Kanan,2,10,group2,1,0,0,Kanan Matsuura,Matsuura Kanan,NA,
Kurosawa,Dia,1,1,group2,1,0,0,Dia Kurosawa,Kurosawa Dia,NA,
Watanabe,You,4,17,group2,1,0,0,You Watanabe,Watanabe You,NA,
Tsushima,Yoshiko,7,13,group2,1,0,0,Yoshiko Tsushima,Tsushima Yoshiko,Yohane,
Kunikida,Hanamaru,3,4,group2,1,0,0,Hanamaru Kunikida,Kunikida Hanamaru,Zuramaru,
Ohara,Mari,6,13,group2,1,0,0,Mari Ohara,Ohara Mari,NA,
Kurosawa,Ruby,9,21,group2,1,0,0,Ruby Kurosawa,Kurosawa Ruby,NA,
Kazuno,Sarah,5,4,ss,1,0,0,Sarah Kazuno,Kazuno Sarah,NA,
Kazuno,Leah,12,12,ss,1,0,0,Leah Kazuno,Kazuno Leah,NA,
Uehara,Ayumu,3,1,group3,1,0,0,Ayumu Uehara,Uehara Ayumu,NA,
Nakasu,Kasumi,1,23,group3,1,0,0,Kasumi Nakasu,Nakasu Kasumi,Kasukas- I mean Kasumin,
Osaka,Shizuku,4,3,group3,1,0,0,Shizuku Osaka,Osaka Shizuku,NA,
Asaka,Karin,6,29,group3,1,0,0,Karin Asaka,Asaka Karin,NA,
Miyashita,Ai,5,30,group3,1,0,0,Ai Miyashita,Miyashita Ai,NA,
Konoe,Kanata,12,16,group3,1,0,0,Kanata Konoe,Konoe Kanata,NA,
Yuki,Setsuna,8,8,group3,1,0,0,Setsuna Yuki,Yuki Setsuna,Setsu,
Verde,Emma,2,5,group3,1,0,0,Emma Verde,Verde Emma,NA,
Tennoji,Rina,11,13,group3,1,0,0,Rina Tennoji,Tennoji Rina,Rina-ri,
Mifune,Shioriko,10,5,group3,1,0,0,Shioriko Mifune,Mifune Shioriko,NA,
Zhong,Lanzhu,2,15,group3,1,0,0,Lanzhu Zhong,Zhong Lanzhu,NA,
Taylor,Mia,12,6,group3,1,0,0,Mia Taylor,Mia Taylor,NA,
Shibuya,Kanon,5,1,group4,1,0,0,Kanon Shibuya,Shibuya Kanon,NA,
Tang,KeKe,7,17,group4,1,0,0,KeKe Tang,Tang KeKe,NA,
Chisato,Arashi,2,25,group4,1,0,0,Arashi Chisato,Chisato Arashi,NA,
Heanna,Sumire,9,28,group4,1,0,0,Sumire Heanna,Heanna Sumire,NA,
Hazuki,Ren,11,24,group4,1,0,0,Ren Hazuki,Hazuki Ren,NA,
Sakurakoji,Kinako,4,10,group4,1,0,0,Kinako Sakurakoji,Sakurakoji Kinako,NA,
Yoneme,Mei,10,29,group4,1,0,0,Mei Yoneme,Yoneme Mei,NA,
Wakana,Shiki,6,17,group4,1,0,0,Shiki Wakana,Wakana Shiki,NA,
Onitsuka,Natsumi,8,7,group4,1,0,0,Natsumi Onitsuka,Onitsuka Natsumi,OniNatsu,
Margarete,Wien,1,20,group4,1,0,0,Wien Margarete,Wien Margarete,Margarete,
Onitsuka,Tomari,12,28,group4,1,0,0,Tomari Onitsuka,Onitsuka Tomari,NA,
Hijirisawa,Yuna,8,11,sunnypa,1,0,0,Yuna Hijirisawa,Hijirisawa Yuna,NA,
Hiiragi,Mao,12,2,sunnypa,1,0,0,Mao Hiiragi,Hiiragi Mao,NA,
Hinoshita,Kaho,5,22,group5,1,0,0,Kaho Hinoshita,Hinoshita Kaho,NA,
Murano,Sayaka,1,13,group5,1,0,0,Sayaka Murano,Murano Sayaka,Saya,
Otomune,Kozue,6,15,group5,1,0,0,Kozue Otomune,Otomune Kozue,NA,
Yugiri,Tsuzuri,11,17,group5,1,0,0,Tsuzuri Yugiri,Yugiri Tsuzuri,NA,
Osawa,Rurino,8,31,group5,1,0,0,Rurino Osawa,Osawa Rurino,NA,
Fujishima,Megumi,12,20,group5,1,0,0,Megumi Fujishima,Fujishima Megumi,Megu,
Momose,Ginko,10,20,group5,1,0,0,Ginko Momose,Momose Ginko,NA,
Kachimachi,Kosuzu,2,28,group5,1,0,0,Kosuzu Kachimachi,Kachimachi Kosuzu,NA,
Anyoji,Hime,9,24,group5,1,0,0,Hime Anyoji,Anyoji Hime,NA,
Nitta,Emi,12,10,group1,0,1,0,Emi Nitta,Nitta Emi,Emitsun,voices Honoka
Uchida,Aya,7,23,group1,0,1,0,Aya Uchida,Uchida Aya,Ucchi,voices Kotori
Mimori,Suzuko,6,28,group1,0,1,0,Suzuko Mimori,Mimori Suzuko,Mimorin,voices Umi
Kubo,Yurika,5,19,group1,0,1,0,Yurika Kubo,Kubo Yurika,Shikako,voices Hanayo
Iida,Riho,10,26,group1,0,1,0,Riho Iida,Iida Riho,Rippi,voices Rin
,Pile,5,2,group1,0,1,0,Pile,Pile,Pile,voices Maki
Tokui,Sora,12,26,group1,0,1,0,Sora Tokui,Tokui Sora,Soramaru,voices Nico
Kusuda,Aina,2,1,group1,0,1,0,Aina Kusuda,Kusuda Aina,Kussun,voices Nozomi
Nanjo,Yoshino,7,12,group1,0,1,0,Yoshino Nanjo,Nanjo Yoshino,Nanjolno,voices Eli
Inami,Anju,2,7,group2,0,1,0,Anju Inami,Inami Anju,Anchan,voices Chika
Saito,Shuka,8,16,group2,0,1,0,Shuka Saito,Saito Shuka,Shukashuu,voices You
Aida,Rikako,8,8,group2,0,1,0,Rikako Aida,Aida Rikako,Aida-san / Rikyako,voices Riko
Kobayashi,Aika,10,23,group2,0,1,0,Aika Kobayashi,Kobayashi Aika,Aikyan,voices Yoshiko
Furihata,Ai,2,19,group2,0,1,0,Ai Furihata,Furihata Ai,Furirin / Aiai,voices Ruby
Takatsuki,Kanako,9,25,group2,0,1,0,Kanako Takatsuki,Takatsuki Kanako,King / Kinchan,voices Hanamaru
Suzuki,Aina,7,23,group2,0,1,0,Aina Suzuki,Suzuki Aina,Ainya,voices Mari
Suwa,Nanaka,11,2,group2,0,1,0,Nanaka Suwa,Suwa Nanaka,Suwawa,voices Kanan
Komiya,Arisa,2,5,group2,0,1,0,Arisa Komiya,Komiya Arisa,Arisha,voices Dia
Onishi,Aguri,5,2,group3,0,1,0,Aguri Onishi,Onishi Aguri,Agupon,voices Ayumu
Kusunoki,Tomori,12,22,group3,0,1,0,Tomori Kusunoki,Kusunoki Tomori,Tomoriru,voiced Setsuna
Hayashi,Coco,5,15,group3,0,1,0,Coco Hayashi,Hayashi Coco,Coco-chan,voices Setsuna
Murakami,Natsumi,9,7,group3,0,1,0,Natsumi Murakami,Murakami Natsumi,Nacchan,voices Ai
Homoto,Akina,8,5,group3,0,1,0,Akina Homoto,Homoto Akina,Homin,voices Lanzhu
Yano,Hinaki,3,5,group3,0,1,0,Hinaki Yano,Yano Hinaki,Hinanon,voices Yu
Sagara,Mayu,4,17,group3,0,1,0,Mayu Sagara,Sagara Mayu,Mayuchi,voices Kasumi
Tanaka,Chiemi,10,6,group3,0,1,0,Chiemi Tanaka,Tanaka Chiemi,Chemii,voices Rina
Maeda,Kaori,4,25,group3,0,1,0,Kaori Maeda,Maeda Kaori,Kaorin,voices Shizuku
Uchida,Shu,5,24,group3,0,1,0,Shu Uchida,Uchida Shu,Shu-chan,voices Mia
Kito,Akari,10,16,group3,0,1,0,Akari Kito,Kito Akari,Akarin,voices Kanata
Kubota,Miyu,1,31,group3,0,1,0,Miyu Kubota,Kubota Miyu,Miyutan,voices Karin
Sashide,Maria,9,20,group3,0,1,0,Maria Sashide,Sashide Maria,Chunrun,voices Emma
Koizumi,Moeka,2,27,group3,0,1,0,Moeka Koizumi,Koizumi Moeka,Moepi,voices Shioriko
Date,Sayuri,9,30,group4,0,1,0,Sayuri Date,Date Sayuri,Sayurin,voices Kanon
,Liyuu,1,9,group4,0,1,0,Liyuu,Liyuu,Liyuu,voices KeKe
Misaki,Nako,3,8,group4,0,1,0,Nako Misaki,Misaki Nako,Nakonako,voices Chisato
Payton,Naomi,7,1,group4,0,1,0,Naomi Payton,Payton Naomi,Pay-chan,voices Sumire
Aoyama,Nagisa,5,16,group4,0,1,0,Nagisa Aoyama,Aoyama Nagisa,Nagi-chan,voices Ren
